iss_date,DATA_DECESSO,DECESSI,,,,,,,
08/06/2021,30/04/2021,231,,,,,,,
08/06/2021,01/05/2021,195,,,,,,,
08/06/2021,02/05/2021,206,,,,,,,
08/06/2021,03/05/2021,201,,,,,,,
08/06/2021,04/05/2021,248,,,,,,,
08/06/2021,05/05/2021,196,,,,,,,
08/06/2021,06/05/2021,179,,,,,,,
08/06/2021,07/05/2021,177,,,,,,,
08/06/2021,08/05/2021,161,,,,,,,
08/06/2021,09/05/2021,155,,,,,,,
08/06/2021,10/05/2021,192,,,,,,,
08/06/2021,11/05/2021,183,,,,,,,
08/06/2021,12/05/2021,149,,,,,,,
08/06/2021,13/05/2021,138,,,,,,,
08/06/2021,14/05/2021,134,,,,,,,
08/06/2021,15/05/2021,130,,,,,,,
08/06/2021,16/05/2021,119,,,,,,,
08/06/2021,17/05/2021,132,,,,,,,
08/06/2021,18/05/2021,114,,,,,,,
08/06/2021,19/05/2021,101,,,,,,,
08/06/2021,20/05/2021,110,,,,,,,
08/06/2021,21/05/2021,81,,,,,,,
08/06/2021,22/05/2021,97,,,,,,,
08/06/2021,23/05/2021,73,,,,,,,
08/06/2021,24/05/2021,78,,,,,,,
08/06/2021,25/05/2021,78,,,,,,,
08/06/2021,26/05/2021,66,,,,,,,
08/06/2021,27/05/2021,70,,,,,,,
08/06/2021,28/05/2021,63,,,,,,,
08/06/2021,29/05/2021,62,,,,,,,
08/06/2021,30/05/2021,41,,,,,,,
08/06/2021,31/05/2021,56,,,,,,,
08/06/2021,01/06/2021,49,,,,,,,
08/06/2021,02/06/2021,28,,,,,,,
08/06/2021,03/06/2021,51,,,,,,,
08/06/2021,04/06/2021,32,,,,,,,
08/06/2021,05/06/2021,38,,,,,,,
08/06/2021,06/06/2021,31,,,,,,,
08/06/2021,07/06/2021,34,,,,,,,
08/06/2021,08/06/2021,<5,,,,,,,
08/06/2021,,4089644,,,,,,,
