DATA_PRELIEVO_DIAGNOSI,CASI,iss_date
17/04/2022,16528,25/08/2022
17/05/2020,298,25/08/2022
17/05/2021,5511,25/08/2022
17/05/2022,30762,25/08/2022
17/06/2020,303,25/08/2022
17/06/2021,1123,25/08/2022
17/06/2022,38645,25/08/2022
17/07/2020,284,25/08/2022
17/07/2021,2992,25/08/2022
17/07/2022,28746,25/08/2022
17/08/2020,702,25/08/2022
17/08/2021,7771,25/08/2022
17/08/2022,25743,25/08/2022
17/09/2020,1759,25/08/2022
17/09/2021,4461,25/08/2022
17/10/2020,11921,25/08/2022
17/10/2021,1218,25/08/2022
17/11/2020,38530,25/08/2022
17/11/2021,10741,25/08/2022
17/12/2020,16586,25/08/2022
17/12/2021,30119,25/08/2022
18/01/2021,14594,25/08/2022
18/01/2022,194907,25/08/2022
18/02/2021,14677,25/08/2022
18/02/2022,50477,25/08/2022
18/03/2020,5690,25/08/2022
18/03/2021,24126,25/08/2022
18/03/2022,75818,25/08/2022
18/04/2020,2640,25/08/2022
18/04/2021,5804,25/08/2022
18/04/2022,25610,25/08/2022
18/05/2020,655,25/08/2022
18/05/2021,5838,25/08/2022
18/05/2022,30646,25/08/2022
18/06/2020,233,25/08/2022
18/06/2021,1088,25/08/2022
18/06/2022,31372,25/08/2022
18/07/2020,172,25/08/2022
18/07/2021,1759,25/08/2022
18/07/2022,126505,25/08/2022
18/08/2020,927,25/08/2022
18/08/2021,7408,25/08/2022
18/08/2022,23602,25/08/2022
18/09/2020,1929,25/08/2022
18/09/2021,3483,25/08/2022
18/10/2020,6425,25/08/2022
18/10/2021,3766,25/08/2022
18/11/2020,37053,25/08/2022
18/11/2021,11136,25/08/2022
18/12/2020,17037,25/08/2022
18/12/2021,24423,25/08/2022
19/01/2021,14622,25/08/2022
19/01/2022,190231,25/08/2022
19/02/2021,15497,25/08/2022
19/02/2022,41996,25/08/2022
19/03/2020,5685,25/08/2022
19/03/2021,23640,25/08/2022
19/03/2022,61951,25/08/2022
19/04/2020,1385,25/08/2022
19/04/2021,14758,25/08/2022
19/04/2022,109944,25/08/2022
19/05/2020,720,25/08/2022
19/05/2021,5121,25/08/2022
